config_name,has_rag,triage_accuracy,f1_score,f2_score,cases_evaluated,success_count,total_failures,unknown_count,extraction_success_rate,avg_inference_time
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_ultra_safe_RAG_top2_structured_pure_diverse,True,0.215,0.1333261154481737,0.14589643137683825,200,200,5,5,0.975,1.0651487040519714
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_ultra_safe_RAG_top3_contextual_sentence_diverse,True,0.185,0.08406221198156681,0.11082661250566916,200,200,6,6,0.97,1.1498257040977478
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_high_capacity_safe_NoRAG,False,0.18,0.05562231759656653,0.09501466275659823,200,200,3,3,0.985,0.9615559959411621
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,True,0.215,0.13406451612903225,0.14627372627372626,200,200,10,10,0.95,1.067542142868042
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_high_capacity_safe_RAG_top2_structured_pure_diverse,True,0.18,0.07450079560248807,0.10488575511394822,200,200,9,9,0.955,1.046675008535385
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,True,0.18,0.05562231759656653,0.09501466275659823,200,200,3,3,0.985,1.153870347738266
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_performance_safe_NoRAG,False,0.18,0.06441558441558443,0.09914986217902218,200,200,3,3,0.985,0.9590278792381287
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_performance_safe_RAG_top1_structured_contextual_diverse,True,0.185,0.07511951115532187,0.10646847595085131,200,200,3,3,0.985,1.0592025756835937
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_performance_safe_RAG_top2_structured_pure_diverse,True,0.175,0.05431034482758621,0.0926470588235294,200,200,3,3,0.985,1.039879697561264
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_performance_safe_RAG_top3_contextual_sentence_diverse,True,0.175,0.05478260869565218,0.09319526627218934,200,200,5,5,0.975,1.1320382499694823
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_balanced_safe_NoRAG,False,0.165,0.051652173913043484,0.0878698224852071,200,200,6,6,0.97,0.9479867160320282
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_balanced_safe_RAG_top1_structured_contextual_diverse,True,0.195,0.08727649769585254,0.11624829925265709,200,200,7,7,0.965,1.0629390275478363
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_balanced_safe_RAG_top2_structured_pure_diverse,True,0.18,0.07414025974025976,0.10435090828533453,200,200,8,8,0.96,1.050683581829071
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_balanced_safe_RAG_top3_contextual_sentence_diverse,True,0.18,0.06448009506833037,0.09916009125652091,200,200,4,4,0.98,1.1368290662765503
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_ultra_safe_NoRAG,False,0.175,0.05625,0.09487951807228916,200,200,10,10,0.95,0.9478343260288239
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_ultra_safe_RAG_top1_structured_contextual_diverse,True,0.22,0.22,0.22,200,200,0,0,1.0,1.0514162182807922
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_ultra_safe_RAG_top2_structured_pure_diverse,True,0.195,0.08607287449392713,0.11505602240896358,200,200,2,2,0.99,1.0501009154319763
Gemma-270M_8bit_FineTuned_adapter_safe_triage_Gemma-270M_8bit_ultra_safe_RAG_top3_contextual_sentence_diverse,True,0.185,0.0835786468741079,0.11027470427393984,200,200,7,7,0.965,1.1399518942832947
